crop.species,age
Phaseolus_acutifolius,7.730011
Phaseolus_coccineus,7.430083
Phaseolus_dumosus,3.462875
Phaseolus_lunatus,2.592488
Phaseolus_maculatus_subsp._ritensis,2.789757
Phaseolus_vulgaris,2.187059
Phleum_pratense,9.739209
Phoenix_atlantica,1.16641
Phoenix_dactylifera,6.83075
Phoenix_sylvestris,5.2163038
Phragmites_australis,5.6472725
Phyllanthus_acidus,1.418572
Phyllanthus_emblica,17.136879
Phyllostachys_dulcis,17.13688
Phyllostachys_nigra,1.53744
Physalis_ixocarpa,1.537449
Physalis_peruviana,7.516135
Physalis_philadelphica,7.51614
Physalis_pubescens,7.51614
Phytolacca_acinosa,7.516135
Pimenta_dioica,11.474749
Pimpinella_anisum,18.204956
Piper_auritum,25.8043
Piper_guineense,22.643805
Piper_longum,22.643803
Piper_nigrum,15.468357
Piper_retrofractum,16.32026
Pisonia_umbellifera,15.468357
Pistacia_lentiscus,9.708613
Pistacia_vera,11.888171
Pisum_sativum,1.582569
Pithecellobium_dulce,1.442817
Plantago_major,11.751805
Plectranthus_amboinicus,3.625699
Plectranthus_esculentus,10.11746
Plinia_cauliflora,10.11746
Plukenetia_volubilis,22.527944
Poa_compressa,2.945237
Poa_nemoralis,3.2716727
Poa_pratensis,3.2716727
Polygala_butyracea,1.6358365
Polyscias_fruticosa,50.45655
Portulaca_oleracea,5.95684
Pouteria_caimito,11.610001
Pouteria_campechiana,8.634876
Pouteria_lucuma,11.550071
Pouteria_macrophylla,11.55009
Pouteria_procera,3.304899
Pouteria_sapota,11.55009
Pouteria_viridis,11.55009
Proboscidea_louisianica,11.55009
Prosopis_strombulifera,5.749748
Prunus_americana,16.54915
Prunus_angustifolia,3.837753
Prunus_armeniaca,1.435499
Prunus_cerasus,12.458511
Prunus_domestica,14.862046
Prunus_dulcis,29.307456
Prunus_kansuensis,29.30746
Prunus_mira,6.540285
Prunus_munsoniana,6.540285
Prunus_nigra,1.435499
Prunus_persica,4.243671
Prunus_salicina,12.458512
Prunus_simonii,10.267793
Prunus_tenella,29.30746
Prunus_tomentosa,29.307455
Prunus_ussuriensis,29.30746
Pseudoroegneria_spicata,10.267793
Psidium_acutangulum,4.204911
Psidium_cattleyanum,21.44063
Psidium_friedrichsthalianum,21.44063
Psidium_guajava,16.014384
Psidium_guineense,21.44063
Psidium_oligospermum,21.44063
Psophocarpus_tetragonolobus,21.44063
Puccinellia_nuttalliana,0.005445
Pueraria_montana,4.00954
Pueraria_phaseoloides,5.039525
Pugionium_cornutum,22.46602
Punica_granatum,14.674224
Pyracantha_coccinea,47.806895
Pyrus_bretschneideri,9.614767
Pyrus_communis,0.090079
Pyrus_pyrifolia,2.941484
Quararibea_cordata,5.394248
Raphanus_sativus,7.771085
Rheum_officinale,13.768596
Rheum_hybridum,2.448078
Rhodomyrtus_tomentosa,0.002903
Rhus_coriaria,13.07644
Ribes_aureum,7.192194
Ribes_cynosbati,21.490103
Ribes_longeracemosum,21.4901
Ribes_nigrum,21.4901
Ribes_petraeum,16.2318824
Ribes_rubrum,5.0135922
Ribes_spicatum,12.282744812
Ribes_uva-crispa,16.6866537
Rorippa_indica,16.6866537
Rosmarinus_officinalis,9.909488
Rubus_brasiliensis,3.508809
Rubus_chamaemorus,84.30539
Rubus_fruticosus,84.30539
Rubus_glaucus,84.30539
Rubus_illecebrosus,84.30539
Rubus_laciniatus,84.30539
Rubus_occidentalis,84.30539
Rubus_phoenicolasius,84.30539
Rubus_rosifolius,84.30539
Rubus_ursinus,35.599624
Rubus_wardii,43.952036
Rumex_acetosa,63.269452
Rumex_alpinus,84.30539
Rumex_hymenosepalus,8.920877
Rumex_obtusifolius,8.920877
Rumex_patientia,8.920877
Rumex_scutatus,8.920877
Saccharum_officinarum,8.920877
Sagittaria_sagittifolia,8.920877
Salacca_zalacca,2.75194
Salsola_komarovii,14.74838
Salsola_soda,4.069985515
Salvia_hispanica,0.865094
Salvia_officinalis,10.967469
Sambucus_nigra,18.68044
Sandoricum_koetjape,10.029958
Sanguisorba_minor,7.071385
