"Family","Species.ssp.var","common.name","wild.cultivated","Herbaceous.woody","Trait","VALUE","WR2toCrop","WR2toWR1","Both","Neither","Direction.WR2toCrop","Direction.WR2toWR1"
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","Flowering","Lateral",1,1,1,0,"Lateral and Terminal to Lateral","Lateral and Terminal to Terminal"
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","MeristemFunctioning","Indeterminate",1,0,0,0,"Determinate to Indeterminate",""
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","BranchingMechanism","Continuous",0,1,0,0,"","Continuous to Diffuse"
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","ShortShoots","Absent",1,1,1,0,"Present to Absent","Present to Absent"
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","Branching","Unbranched",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","BranchingType","Absent",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","BranchingPosition","Absent",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","Flowering","Terminal",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","MeristemFunctioning","Determinate",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","BranchingMechanism","Absent",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","ShortShoots","Absent",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_sagittifolius","Aibika wild relative 1","Wild","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","BranchingType","Monopodial",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","Flowering","Lateral",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","BranchingMechanism","Continuous",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","ShortShoots","Absent",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abutilon_bidentatum","Velvetleaf wild relative 1","Wild","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","BranchingType","Monopodial",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
